gene,gene_id,chromosome,type
C4orf45,ENSG00000164123,4,protein_coding
TMEM144,ENSG00000164124,4,protein_coding
NPY1R,ENSG00000164128,4,protein_coding
NPY5R,ENSG00000164129,4,protein_coding
NAA15,ENSG00000164134,4,protein_coding
IL15,ENSG00000164136,4,protein_coding
ARFIP1,ENSG00000164144,4,protein_coding
ICE1,ENSG00000164151,5,protein_coding
HHIP,ENSG00000164161,4,protein_coding
ANAPC10,ENSG00000164162,4,protein_coding
ABCE1,ENSG00000164163,4,protein_coding
OTUD4,ENSG00000164164,4,protein_coding
LSM6,ENSG00000164167,4,protein_coding
TMEM184C,ENSG00000164168,4,protein_coding
PRMT9,ENSG00000164169,4,protein_coding
ITGA2,ENSG00000164171,5,protein_coding
MOCS2,ENSG00000164172,5,protein_coding
SLC45A2,ENSG00000164175,5,protein_coding
EDIL3,ENSG00000164176,5,protein_coding
TMEM161B,ENSG00000164180,5,protein_coding
ELOVL7,ENSG00000164181,5,protein_coding
NDUFAF2,ENSG00000164182,5,protein_coding
ZNF474,ENSG00000164185,5,protein_coding
LMBRD2,ENSG00000164187,5,protein_coding
RANBP3L,ENSG00000164188,5,protein_coding
NIPBL,ENSG00000164190,5,protein_coding
RNF180,ENSG00000164197,5,protein_coding
ADGRV1,ENSG00000164199,5,protein_coding
SLC25A46,ENSG00000164209,5,protein_coding
STARD4,ENSG00000164211,5,protein_coding
PGGT1B,ENSG00000164219,5,protein_coding
F2RL2,ENSG00000164220,5,protein_coding
CCDC112,ENSG00000164221,5,protein_coding
ANKRD33B,ENSG00000164236,5,protein_coding
CMBL,ENSG00000164237,5,protein_coding
C5orf63,ENSG00000164241,5,protein_coding
PRRC1,ENSG00000164244,5,protein_coding
F2RL1,ENSG00000164251,5,protein_coding
AGGF1,ENSG00000164252,5,protein_coding
WDR41,ENSG00000164253,5,protein_coding
PRDM9,ENSG00000164256,5,protein_coding
NDUFS4,ENSG00000164258,5,protein_coding
SCGB3A2,ENSG00000164265,5,protein_coding
SPINK1,ENSG00000164266,5,protein_coding
HTR4,ENSG00000164270,5,protein_coding
ESM1,ENSG00000164283,5,protein_coding
GRPEL2,ENSG00000164284,5,protein_coding
CDC20B,ENSG00000164287,5,protein_coding
ARSK,ENSG00000164291,5,protein_coding
RHOBTB3,ENSG00000164292,5,protein_coding
GPX8,ENSG00000164294,5,protein_coding
TIGD6,ENSG00000164296,5,protein_coding
SPZ1,ENSG00000164299,5,protein_coding
SERINC5,ENSG00000164300,5,protein_coding
ENPP6,ENSG00000164303,4,protein_coding
CAGE1,ENSG00000164304,6,protein_coding
CASP3,ENSG00000164305,4,protein_coding
PRIMPOL,ENSG00000164306,4,protein_coding
ERAP1,ENSG00000164307,5,protein_coding
ERAP2,ENSG00000164308,5,protein_coding
CMYA5,ENSG00000164309,5,protein_coding
EGFLAM,ENSG00000164318,5,protein_coding
CFAP97,ENSG00000164323,4,protein_coding
TMEM174,ENSG00000164325,5,protein_coding
CARTPT,ENSG00000164326,5,protein_coding
RICTOR,ENSG00000164327,5,protein_coding
EBF1,ENSG00000164330,5,protein_coding
ANKRA2,ENSG00000164331,5,protein_coding
UBLCP1,ENSG00000164332,5,protein_coding
FAM170A,ENSG00000164334,5,protein_coding
UTP15,ENSG00000164338,5,protein_coding
TLR3,ENSG00000164342,4,protein_coding
KLKB1,ENSG00000164344,4,protein_coding
NSA2,ENSG00000164346,5,protein_coding
GFM2,ENSG00000164347,5,protein_coding
TERT,ENSG00000164362,5,protein_coding
SLC6A18,ENSG00000164363,5,protein_coding
CCDC127,ENSG00000164366,5,protein_coding
FOXQ1,ENSG00000164379,6,protein_coding
ACSL6,ENSG00000164398,5,protein_coding
IL3,ENSG00000164399,5,protein_coding
CSF2,ENSG00000164400,5,protein_coding
SHROOM1,ENSG00000164403,5,protein_coding
GDF9,ENSG00000164404,5,protein_coding
UQCRQ,ENSG00000164405,5,protein_coding
LEAP2,ENSG00000164406,5,protein_coding
GJB7,ENSG00000164411,6,protein_coding
SLC35A1,ENSG00000164414,6,protein_coding
GRIK2,ENSG00000164418,6,protein_coding
FABP7,ENSG00000164434,6,protein_coding
TLX3,ENSG00000164438,5,protein_coding
TXLNB,ENSG00000164440,6,protein_coding
CITED2,ENSG00000164442,6,protein_coding
CREBRF,ENSG00000164463,5,protein_coding
DCBLD1,ENSG00000164465,6,protein_coding
SFXN1,ENSG00000164466,5,protein_coding
SAMD3,ENSG00000164483,6,protein_coding
TMEM200A,ENSG00000164484,6,protein_coding
IL22RA2,ENSG00000164485,6,protein_coding
DACT2,ENSG00000164488,6,protein_coding
PDSS2,ENSG00000164494,6,protein_coding
STXBP5,ENSG00000164506,6,protein_coding
IL31RA,ENSG00000164509,5,protein_coding
ANKRD55,ENSG00000164512,5,protein_coding
RAET1E,ENSG00000164520,6,protein_coding
PI16,ENSG00000164530,6,protein_coding
TBX20,ENSG00000164532,7,protein_coding
DAGLB,ENSG00000164535,7,protein_coding
STK17A,ENSG00000164543,7,protein_coding
TRA2A,ENSG00000164548,7,protein_coding
GALNT10,ENSG00000164574,5,protein_coding
SAP30L,ENSG00000164576,5,protein_coding
RPS14,ENSG00000164587,5,protein_coding
HCN1,ENSG00000164588,5,protein_coding
MYOZ3,ENSG00000164591,5,protein_coding
COG5,ENSG00000164597,7,protein_coding
NEUROD6,ENSG00000164600,7,protein_coding
BMT2,ENSG00000164603,7,protein_coding
GPR85,ENSG00000164604,7,protein_coding
SLU7,ENSG00000164609,5,protein_coding
RP9,ENSG00000164610,7,protein_coding
PTTG1,ENSG00000164611,5,protein_coding
CAMLG,ENSG00000164615,5,protein_coding
BMPER,ENSG00000164619,7,protein_coding
RELL2,ENSG00000164620,5,protein_coding
KCNK5,ENSG00000164626,6,protein_coding
KIF6,ENSG00000164627,6,protein_coding
ZNF12,ENSG00000164631,7,protein_coding
SLC29A4,ENSG00000164638,7,protein_coding
STEAP1,ENSG00000164647,7,protein_coding
CDCA7L,ENSG00000164649,7,protein_coding
SP8,ENSG00000164651,7,protein_coding
MIOS,ENSG00000164654,7,protein_coding
USP49,ENSG00000164663,6,protein_coding
SYTL3,ENSG00000164674,6,protein_coding
IQUB,ENSG00000164675,7,protein_coding
HEY1,ENSG00000164683,8,protein_coding
ZNF704,ENSG00000164684,8,protein_coding
FABP5,ENSG00000164687,8,protein_coding
SHH,ENSG00000164690,7,protein_coding
TAGAP,ENSG00000164691,6,protein_coding
COL1A2,ENSG00000164692,7,protein_coding
FNDC1,ENSG00000164694,6,protein_coding
CHMP4C,ENSG00000164695,8,protein_coding
SLC13A4,ENSG00000164707,7,protein_coding
BRI3,ENSG00000164713,7,protein_coding
LMTK2,ENSG00000164715,7,protein_coding
SLC35G3,ENSG00000164729,17,protein_coding
CTSB,ENSG00000164733,8,protein_coding
SOX17,ENSG00000164736,8,protein_coding
DLC1,ENSG00000164741,8,protein_coding
ADCY1,ENSG00000164742,7,protein_coding
C8orf48,ENSG00000164743,8,protein_coding
SUN3,ENSG00000164744,7,protein_coding
C7orf57,ENSG00000164746,7,protein_coding
HNF4G,ENSG00000164749,8,protein_coding
PEX2,ENSG00000164751,8,protein_coding
RAD21,ENSG00000164754,8,protein_coding
SLC30A8,ENSG00000164756,8,protein_coding
MED30,ENSG00000164758,8,protein_coding
TNFRSF11B,ENSG00000164761,8,protein_coding
SBSPON,ENSG00000164764,8,protein_coding
PHKG1,ENSG00000164776,7,protein_coding
EN2,ENSG00000164778,7,protein_coding
KCNV1,ENSG00000164794,8,protein_coding
CSMD3,ENSG00000164796,8,protein_coding
SPIDR,ENSG00000164808,8,protein_coding
ORC5,ENSG00000164815,7,protein_coding
DEFA5,ENSG00000164816,8,protein_coding
DNAAF5,ENSG00000164818,7,protein_coding
DEFA4,ENSG00000164821,8,protein_coding
DEFA6,ENSG00000164822,8,protein_coding
OSGIN2,ENSG00000164823,8,protein_coding
DEFB1,ENSG00000164825,8,protein_coding
SUN1,ENSG00000164828,7,protein_coding
OXR1,ENSG00000164830,8,protein_coding
TMEM74,ENSG00000164841,8,protein_coding
GPR146,ENSG00000164849,7,protein_coding
GPER1,ENSG00000164850,7,protein_coding
UNCX,ENSG00000164853,7,protein_coding
TMEM184A,ENSG00000164855,7,protein_coding
NOS3,ENSG00000164867,7,protein_coding
SPAG11B,ENSG00000164871,8,protein_coding
MICALL2,ENSG00000164877,7,protein_coding
CA3,ENSG00000164879,8,protein_coding
INTS1,ENSG00000164880,7,protein_coding
CDK5,ENSG00000164885,7,protein_coding
SLC4A2,ENSG00000164889,7,protein_coding
SLC7A13,ENSG00000164893,8,protein_coding
FASTK,ENSG00000164896,7,protein_coding
TMUB1,ENSG00000164897,7,protein_coding
FMC1,ENSG00000164898,7,protein_coding
GBX1,ENSG00000164900,7,protein_coding
PHAX,ENSG00000164902,5,protein_coding
ALDH7A1,ENSG00000164904,5,protein_coding
FOXK1,ENSG00000164916,7,protein_coding
COX6C,ENSG00000164919,8,protein_coding
OSR2,ENSG00000164920,8,protein_coding
YWHAZ,ENSG00000164924,8,protein_coding
BAALC,ENSG00000164929,8,protein_coding
FZD6,ENSG00000164930,8,protein_coding
CTHRC1,ENSG00000164932,8,protein_coding
SLC25A32,ENSG00000164933,8,protein_coding
DCAF13,ENSG00000164934,8,protein_coding
DCSTAMP,ENSG00000164935,8,protein_coding
TP53INP1,ENSG00000164938,8,protein_coding
INTS8,ENSG00000164941,8,protein_coding
FREM1,ENSG00000164946,9,protein_coding
GEM,ENSG00000164949,8,protein_coding
PDP1,ENSG00000164951,8,protein_coding
TMEM67,ENSG00000164953,8,protein_coding
WASHC5,ENSG00000164961,8,protein_coding
RPP25L,ENSG00000164967,9,protein_coding
FAM219A,ENSG00000164970,9,protein_coding
C9orf24,ENSG00000164972,9,protein_coding
SNAPC3,ENSG00000164975,9,protein_coding
NUDT2,ENSG00000164978,9,protein_coding
TMEM65,ENSG00000164983,8,protein_coding
PSIP1,ENSG00000164985,9,protein_coding
CCDC171,ENSG00000164989,9,protein_coding
UBAP1,ENSG00000165006,9,protein_coding
DIRAS2,ENSG00000165023,9,protein_coding
SYK,ENSG00000165025,9,protein_coding
NIPSNAP3B,ENSG00000165028,9,protein_coding
ABCA1,ENSG00000165029,9,protein_coding
NFIL3,ENSG00000165030,9,protein_coding
LETM2,ENSG00000165046,8,protein_coding
METTL2B,ENSG00000165055,7,protein_coding
PRKACG,ENSG00000165059,9,protein_coding
FXN,ENSG00000165060,9,protein_coding
ZMAT4,ENSG00000165061,8,protein_coding
NKX6-3,ENSG00000165066,8,protein_coding
TMEM71,ENSG00000165071,8,protein_coding
MAMDC2,ENSG00000165072,9,protein_coding
PRSS37,ENSG00000165076,7,protein_coding
CPA6,ENSG00000165078,8,protein_coding
C8orf34,ENSG00000165084,8,protein_coding
TMC1,ENSG00000165091,9,protein_coding
ALDH1A1,ENSG00000165092,9,protein_coding
KDM1B,ENSG00000165097,6,protein_coding
HGSNAT,ENSG00000165102,8,protein_coding
RASEF,ENSG00000165105,9,protein_coding
GKAP1,ENSG00000165113,9,protein_coding
KIF27,ENSG00000165115,9,protein_coding
C9orf64,ENSG00000165118,9,protein_coding
HNRNPK,ENSG00000165119,9,protein_coding
SSMEM1,ENSG00000165120,7,protein_coding
SVEP1,ENSG00000165124,9,protein_coding
TRPV6,ENSG00000165125,7,protein_coding
ANKS6,ENSG00000165138,9,protein_coding
FBP1,ENSG00000165140,9,protein_coding
ZHX1,ENSG00000165156,8,protein_coding
CFAP47,ENSG00000165164,X,protein_coding
CYBB,ENSG00000165168,X,protein_coding
DYNLT3,ENSG00000165169,X,protein_coding
MID1IP1,ENSG00000165175,X,protein_coding
CXorf58,ENSG00000165182,X,protein_coding
KIAA1958,ENSG00000165185,9,protein_coding
PTCHD1,ENSG00000165186,X,protein_coding
RNF183,ENSG00000165188,9,protein_coding
ASB11,ENSG00000165192,X,protein_coding
PCDH19,ENSG00000165194,X,protein_coding
PIGA,ENSG00000165195,X,protein_coding
VEGFD,ENSG00000165197,X,protein_coding
OR1Q1,ENSG00000165202,9,protein_coding
OR1K1,ENSG00000165204,9,protein_coding
STRBP,ENSG00000165209,9,protein_coding
CLDN3,ENSG00000165215,7,protein_coding
GAPVD1,ENSG00000165219,9,protein_coding
CARD19,ENSG00000165233,9,protein_coding
WNK2,ENSG00000165238,9,protein_coding
ATP7A,ENSG00000165240,X,protein_coding
ZNF367,ENSG00000165244,9,protein_coding
NLGN4Y,ENSG00000165246,Y,protein_coding
HDX,ENSG00000165259,X,protein_coding
NDUFB6,ENSG00000165264,9,protein_coding
AQP7,ENSG00000165269,9,protein_coding
NOL6,ENSG00000165271,9,protein_coding
AQP3,ENSG00000165272,9,protein_coding
TRMT10B,ENSG00000165275,9,protein_coding
VCP,ENSG00000165280,9,protein_coding
PIGO,ENSG00000165282,9,protein_coding
STOML2,ENSG00000165283,9,protein_coding
BRWD3,ENSG00000165288,X,protein_coding
SLITRK5,ENSG00000165300,13,protein_coding
MELK,ENSG00000165304,9,protein_coding
ARMC3,ENSG00000165309,10,protein_coding
OTUD1,ENSG00000165312,10,protein_coding
ARHGAP12,ENSG00000165322,10,protein_coding
FAT3,ENSG00000165323,11,protein_coding
DEUP1,ENSG00000165325,11,protein_coding
HECTD2,ENSG00000165338,10,protein_coding
SLC7A3,ENSG00000165349,X,protein_coding
FBXO33,ENSG00000165355,14,protein_coding
INTS6L,ENSG00000165359,X,protein_coding
GPR101,ENSG00000165370,X,protein_coding
CLDN2,ENSG00000165376,X,protein_coding
LRFN5,ENSG00000165379,14,protein_coding
LRRC18,ENSG00000165383,10,protein_coding
SPTSSA,ENSG00000165389,14,protein_coding
WRN,ENSG00000165392,8,protein_coding
TSHR,ENSG00000165409,14,protein_coding
CFL2,ENSG00000165410,14,protein_coding
SUGT1,ENSG00000165416,13,protein_coding
GTF2A1,ENSG00000165417,14,protein_coding
ZCCHC24,ENSG00000165424,10,protein_coding
PGM2L1,ENSG00000165434,11,protein_coding
PHYHIPL,ENSG00000165443,10,protein_coding
SLC16A9,ENSG00000165449,10,protein_coding
FOLR2,ENSG00000165457,11,protein_coding
INPPL1,ENSG00000165458,11,protein_coding
PHOX2A,ENSG00000165462,11,protein_coding
MBL2,ENSG00000165471,10,protein_coding
GJB2,ENSG00000165474,13,protein_coding
CRYL1,ENSG00000165475,13,protein_coding
REEP3,ENSG00000165476,10,protein_coding
HEPACAM,ENSG00000165478,11,protein_coding
SKA3,ENSG00000165480,13,protein_coding
MICU2,ENSG00000165487,13,protein_coding
DDIAS,ENSG00000165490,11,protein_coding
PCF11,ENSG00000165494,11,protein_coding
PKNOX2,ENSG00000165495,11,protein_coding
RPL10L,ENSG00000165496,14,protein_coding
LRR1,ENSG00000165501,14,protein_coding
RPL36AL,ENSG00000165502,14,protein_coding
DNAAF2,ENSG00000165506,14,protein_coding
MAGEC3,ENSG00000165509,X,protein_coding
ZNF22,ENSG00000165512,10,protein_coding
KLHDC2,ENSG00000165516,14,protein_coding
EML5,ENSG00000165521,14,protein_coding
NEMF,ENSG00000165525,14,protein_coding
RPUSD4,ENSG00000165526,11,protein_coding
ARF6,ENSG00000165527,14,protein_coding
TTC8,ENSG00000165533,14,protein_coding
TMEM63C,ENSG00000165548,14,protein_coding
NGB,ENSG00000165553,14,protein_coding
NOXRED1,ENSG00000165555,14,protein_coding
CDX2,ENSG00000165556,13,protein_coding
AMER2,ENSG00000165566,13,protein_coding
AKR1E2,ENSG00000165568,10,protein_coding
KBTBD6,ENSG00000165572,13,protein_coding
SSX5,ENSG00000165583,X,protein_coding
SSX3,ENSG00000165584,X,protein_coding
OTX2,ENSG00000165588,14,protein_coding
FAAH2,ENSG00000165591,X,protein_coding
DRGX,ENSG00000165606,10,protein_coding
NUDT5,ENSG00000165609,10,protein_coding
DACT1,ENSG00000165617,14,protein_coding
OXGR1,ENSG00000165621,13,protein_coding
UCMA,ENSG00000165623,10,protein_coding
BEND7,ENSG00000165626,10,protein_coding
PRPF18,ENSG00000165630,10,protein_coding
TAF3,ENSG00000165632,10,protein_coding
VSTM4,ENSG00000165633,10,protein_coding
VDAC2,ENSG00000165637,10,protein_coding
SOHLH1,ENSG00000165643,9,protein_coding
COMTD1,ENSG00000165644,10,protein_coding
SLC18A2,ENSG00000165646,10,protein_coding
PDZD8,ENSG00000165650,10,protein_coding
ZNF503,ENSG00000165655,10,protein_coding
QSOX2,ENSG00000165661,9,protein_coding
FAM204A,ENSG00000165669,10,protein_coding
NSD1,ENSG00000165671,5,protein_coding
PRDX3,ENSG00000165672,10,protein_coding
ENOX2,ENSG00000165675,X,protein_coding
GHITM,ENSG00000165678,10,protein_coding
CLEC1B,ENSG00000165682,12,protein_coding
SNAPC4,ENSG00000165684,9,protein_coding
TMEM52B,ENSG00000165685,12,protein_coding
PMPCA,ENSG00000165688,9,protein_coding
FRMD7,ENSG00000165694,X,protein_coding
AK8,ENSG00000165695,9,protein_coding
SPACA9,ENSG00000165698,9,protein_coding
TSC1,ENSG00000165699,9,protein_coding
GFI1B,ENSG00000165702,9,protein_coding
HPRT1,ENSG00000165704,X,protein_coding
BORCS5,ENSG00000165714,12,protein_coding
ZMYND19,ENSG00000165724,9,protein_coding
STOX1,ENSG00000165730,10,protein_coding
RET,ENSG00000165731,10,protein_coding
DDX21,ENSG00000165732,10,protein_coding
BMS1,ENSG00000165733,10,protein_coding
STK32C,ENSG00000165752,10,protein_coding
OR4K2,ENSG00000165762,14,protein_coding
FUNDC2,ENSG00000165775,X,protein_coding
METTL17,ENSG00000165792,14,protein_coding
SLC39A2,ENSG00000165794,14,protein_coding
NDRG2,ENSG00000165795,14,protein_coding
RNASE7,ENSG00000165799,14,protein_coding
ARHGEF40,ENSG00000165801,14,protein_coding
NSMF,ENSG00000165802,9,protein_coding
ZNF219,ENSG00000165804,14,protein_coding
C12orf50,ENSG00000165805,12,protein_coding
CASP7,ENSG00000165806,10,protein_coding
PPP1R36,ENSG00000165807,14,protein_coding
BTNL9,ENSG00000165810,5,protein_coding
CCDC186,ENSG00000165813,10,protein_coding
VWA2,ENSG00000165816,10,protein_coding
METTL3,ENSG00000165819,14,protein_coding
SALL2,ENSG00000165821,14,protein_coding
PRAP1,ENSG00000165828,10,protein_coding
TRUB1,ENSG00000165832,10,protein_coding
ERICH6B,ENSG00000165837,13,protein_coding
CYP2C19,ENSG00000165841,10,protein_coding
ZFYVE1,ENSG00000165861,14,protein_coding
C10orf82,ENSG00000165863,10,protein_coding
HSPA12A,ENSG00000165868,10,protein_coding
FRAT1,ENSG00000165879,10,protein_coding
UBTD1,ENSG00000165886,10,protein_coding
ANKRD2,ENSG00000165887,10,protein_coding
E2F7,ENSG00000165891,12,protein_coding
ARHGAP42,ENSG00000165895,11,protein_coding
ISCA2,ENSG00000165898,14,protein_coding
OTOGL,ENSG00000165899,12,protein_coding
LARGE2,ENSG00000165905,11,protein_coding
PACSIN3,ENSG00000165912,11,protein_coding
TTC7B,ENSG00000165914,14,protein_coding
SLC39A13,ENSG00000165915,11,protein_coding
PSMC3,ENSG00000165916,11,protein_coding
RAPSN,ENSG00000165917,11,protein_coding
AGBL2,ENSG00000165923,11,protein_coding
TC2N,ENSG00000165929,14,protein_coding
CPSF2,ENSG00000165934,14,protein_coding
SMCO2,ENSG00000165935,12,protein_coding
MOAP1,ENSG00000165943,14,protein_coding
IFI27L1,ENSG00000165948,14,protein_coding
IFI27,ENSG00000165949,14,protein_coding
SERPINA12,ENSG00000165953,14,protein_coding
CLMN,ENSG00000165959,14,protein_coding
PDZRN4,ENSG00000165966,12,protein_coding
SLC6A5,ENSG00000165970,11,protein_coding
CCDC38,ENSG00000165972,12,protein_coding
NELL1,ENSG00000165973,11,protein_coding
PTER,ENSG00000165983,10,protein_coding
C1QL3,ENSG00000165985,10,protein_coding
CACNB2,ENSG00000165995,10,protein_coding
HACD1,ENSG00000165996,10,protein_coding
ARL5B,ENSG00000165997,10,protein_coding
SMCO4,ENSG00000166002,11,protein_coding
CEP295,ENSG00000166004,11,protein_coding
KCNC2,ENSG00000166006,12,protein_coding
TAF1D,ENSG00000166012,11,protein_coding
ABTB2,ENSG00000166016,11,protein_coding
R3HCC1L,ENSG00000166024,10,protein_coding
AMOTL1,ENSG00000166025,11,protein_coding
HTRA1,ENSG00000166033,10,protein_coding
LIPC,ENSG00000166035,15,protein_coding
CEP57,ENSG00000166037,11,protein_coding
TCP11L2,ENSG00000166046,12,protein_coding
PASD1,ENSG00000166049,X,protein_coding
SPRED1,ENSG00000166068,15,protein_coding
TMCO5A,ENSG00000166069,15,protein_coding
GPR176,ENSG00000166073,15,protein_coding
JAM3,ENSG00000166086,11,protein_coding
IL25,ENSG00000166090,14,protein_coding
CMTM5,ENSG00000166091,14,protein_coding
GLB1L3,ENSG00000166105,11,protein_coding
ADAMTS15,ENSG00000166106,11,protein_coding
SVOP,ENSG00000166111,12,protein_coding
SPATA19,ENSG00000166118,11,protein_coding
GPT2,ENSG00000166123,16,protein_coding
AMN,ENSG00000166126,14,protein_coding
RAB8B,ENSG00000166128,15,protein_coding
IKBIP,ENSG00000166130,12,protein_coding
RPUSD2,ENSG00000166133,15,protein_coding
HIF1AN,ENSG00000166135,10,protein_coding
NDUFB8,ENSG00000166136,10,protein_coding
ZFYVE19,ENSG00000166140,15,protein_coding
PPP1R14D,ENSG00000166143,15,protein_coding
SPINT1,ENSG00000166145,15,protein_coding
FBN1,ENSG00000166147,15,protein_coding
AVPR1A,ENSG00000166148,12,protein_coding
C16orf78,ENSG00000166152,16,protein_coding
DEPDC4,ENSG00000166153,12,protein_coding
LRTM2,ENSG00000166159,12,protein_coding
OPN1MW2,ENSG00000166160,X,protein_coding
BRD7,ENSG00000166164,16,protein_coding
CKB,ENSG00000166165,14,protein_coding
TRMT61A,ENSG00000166166,14,protein_coding
BTRC,ENSG00000166167,10,protein_coding
POLL,ENSG00000166169,10,protein_coding
BAG5,ENSG00000166170,14,protein_coding
DPCD,ENSG00000166171,10,protein_coding
LARP6,ENSG00000166173,15,protein_coding
API5,ENSG00000166181,11,protein_coding
ASPG,ENSG00000166183,14,protein_coding
ZNF319,ENSG00000166188,16,protein_coding
HPS6,ENSG00000166189,10,protein_coding
SENP8,ENSG00000166192,15,protein_coding
NOLC1,ENSG00000166197,10,protein_coding
ALKBH3,ENSG00000166199,11,protein_coding
COPS2,ENSG00000166200,15,protein_coding
GABRB3,ENSG00000166206,15,protein_coding
SPIC,ENSG00000166211,12,protein_coding
TBATA,ENSG00000166220,10,protein_coding
SGPL1,ENSG00000166224,10,protein_coding
FRS2,ENSG00000166225,12,protein_coding
CCT2,ENSG00000166226,12,protein_coding
PCBD1,ENSG00000166228,10,protein_coding
ARIH1,ENSG00000166233,15,protein_coding
CLMP,ENSG00000166250,11,protein_coding
SCN3B,ENSG00000166257,11,protein_coding
COX11,ENSG00000166260,17,protein_coding
ZNF202,ENSG00000166261,11,protein_coding
FAM227B,ENSG00000166262,15,protein_coding
STXBP4,ENSG00000166263,17,protein_coding
CYYR1,ENSG00000166265,21,protein_coding
CUL5,ENSG00000166266,11,protein_coding
MYRFL,ENSG00000166268,12,protein_coding
WBP1L,ENSG00000166272,10,protein_coding
BORCS7,ENSG00000166275,10,protein_coding
C2,ENSG00000166278,6,protein_coding
PLEKHF1,ENSG00000166289,19,protein_coding
TMEM100,ENSG00000166292,17,protein_coding
ANAPC16,ENSG00000166295,10,protein_coding
SMPD1,ENSG00000166311,11,protein_coding
APBB1,ENSG00000166313,11,protein_coding
SYNPO2L,ENSG00000166317,10,protein_coding
NUDT13,ENSG00000166321,10,protein_coding
C11orf65,ENSG00000166323,11,protein_coding
TRIM44,ENSG00000166326,11,protein_coding
CCDC182,ENSG00000166329,17,protein_coding
ILK,ENSG00000166333,11,protein_coding
TAF10,ENSG00000166337,11,protein_coding
TPP1,ENSG00000166340,11,protein_coding
DCHS1,ENSG00000166341,11,protein_coding
NETO1,ENSG00000166342,18,protein_coding
MSS51,ENSG00000166343,10,protein_coding
CYB5A,ENSG00000166347,18,protein_coding
USP54,ENSG00000166348,10,protein_coding
RAG1,ENSG00000166349,11,protein_coding
POTED,ENSG00000166351,21,protein_coding
WDR88,ENSG00000166359,19,protein_coding
OR10A5,ENSG00000166363,11,protein_coding
OR2D2,ENSG00000166368,11,protein_coding
ATP9B,ENSG00000166377,18,protein_coding
PPFIBP2,ENSG00000166387,11,protein_coding
MOGAT2,ENSG00000166391,11,protein_coding
CYB5R2,ENSG00000166394,11,protein_coding
SERPINB7,ENSG00000166396,18,protein_coding
SERPINB8,ENSG00000166401,18,protein_coding
TUB,ENSG00000166402,11,protein_coding
RIC3,ENSG00000166405,11,protein_coding
LMO1,ENSG00000166407,11,protein_coding
IDH3A,ENSG00000166411,15,protein_coding
WDR72,ENSG00000166415,15,protein_coding
CRABP1,ENSG00000166426,15,protein_coding
PLD4,ENSG00000166428,14,protein_coding
ZMAT1,ENSG00000166432,X,protein_coding
XRRA1,ENSG00000166435,11,protein_coding
TRIM66,ENSG00000166436,11,protein_coding
RNF169,ENSG00000166439,11,protein_coding
RPL27A,ENSG00000166441,11,protein_coding
CDYL2,ENSG00000166446,16,protein_coding
TMEM130,ENSG00000166448,7,protein_coding
PRTG,ENSG00000166450,15,protein_coding
CENPN,ENSG00000166451,16,protein_coding
AKIP1,ENSG00000166452,11,protein_coding
ATMIN,ENSG00000166454,16,protein_coding
C16orf46,ENSG00000166455,16,protein_coding
TMEM41B,ENSG00000166471,11,protein_coding
PKD1L2,ENSG00000166473,16,protein_coding
LEO1,ENSG00000166477,15,protein_coding
ZNF143,ENSG00000166478,11,protein_coding
TMX3,ENSG00000166479,18,protein_coding
MFAP4,ENSG00000166482,17,protein_coding
WEE1,ENSG00000166483,11,protein_coding
MAPK7,ENSG00000166484,17,protein_coding
PRKCB,ENSG00000166501,16,protein_coding
NDST2,ENSG00000166507,10,protein_coding
MCM7,ENSG00000166508,7,protein_coding
CLEC3A,ENSG00000166509,16,protein_coding
CCDC68,ENSG00000166510,18,protein_coding
CLEC4E,ENSG00000166523,12,protein_coding
ZNF3,ENSG00000166526,7,protein_coding
CLEC4D,ENSG00000166527,12,protein_coding
ZSCAN21,ENSG00000166529,7,protein_coding
RIMKLB,ENSG00000166532,12,protein_coding
A2ML1,ENSG00000166535,12,protein_coding
BEAN1,ENSG00000166546,16,protein_coding
TK2,ENSG00000166548,16,protein_coding
TMED3,ENSG00000166557,15,protein_coding
SLC38A8,ENSG00000166558,16,protein_coding
SEC11C,ENSG00000166562,18,protein_coding
CPLX4,ENSG00000166569,18,protein_coding
GALR1,ENSG00000166573,18,protein_coding
TMEM135,ENSG00000166575,11,protein_coding
IQCD,ENSG00000166578,12,protein_coding
NDEL1,ENSG00000166579,17,protein_coding
CENPV,ENSG00000166582,17,protein_coding
CDH16,ENSG00000166589,16,protein_coding
RRAD,ENSG00000166592,16,protein_coding
CFAP52,ENSG00000166596,17,protein_coding
HSP90B1,ENSG00000166598,12,protein_coding
MC4R,ENSG00000166603,18,protein_coding
BLCAP,ENSG00000166619,20,protein_coding
SERPINB12,ENSG00000166634,18,protein_coding
CHRFAM7A,ENSG00000166664,15,protein_coding
ATF7IP2,ENSG00000166669,16,protein_coding
MMP10,ENSG00000166670,11,protein_coding
TVP23A,ENSG00000166676,16,protein_coding
BEX3,ENSG00000166681,X,protein_coding
TMPRSS5,ENSG00000166682,11,protein_coding
COG1,ENSG00000166685,17,protein_coding
PLEKHA7,ENSG00000166689,11,protein_coding
ZNF606,ENSG00000166704,19,protein_coding
ZCCHC18,ENSG00000166707,X,protein_coding
B2M,ENSG00000166710,15,protein_coding
ZNF592,ENSG00000166716,15,protein_coding
HTR3A,ENSG00000166736,11,protein_coding
NNMT,ENSG00000166741,11,protein_coding
